藥局名稱,地址,X,Y
內壢成章藥局,中壢區忠孝路198號,24.9769623,121.2550464
億源藥局,中壢區林森路176號,24.9440996,121.2266634
優良藥局,中壢區長春路20號,24.9791516,121.2498715
榮善堂藥局,中壢區前龍街9號,24.9297934,121.2536293
美十藥局,中壢區健行路79號,24.950652,121.2270746
立康專業藥局,中壢區莊敬路865號,24.9638267,121.254317
日光健康藥局,中壢區華祥一街2號1樓,24.9482142,121.2606555
鴻安中西藥局,中壢區新中北路2段191號1f,24.9560039,121.2625075
千葉大藥局,中壢區新生路307號,24.9643057,121.2230636
躍獅新明藥局,中壢區新明路66號,24.9586303,121.2149683
新資生榮民大藥局,中壢區榮民路103號,24.9682016,121.2608522
回生藥局,中壢區福州二街408號,24.967656,121.232082
新資生福州大藥局,中壢區福州二街409號,24.967862,121.2320253
新家福藥局,中壢區福州二街419號,24.9680043,121.2325301
欣安藥局,中壢區龍岡路3段176號,24.9356424,121.233453
得康藥局,中壢區龍岡路二段89.91號,24.9431301,121.2298695
龍東藥局,中壢區龍東路205號,24.9297264,121.2530015
大賀藥局,中壢區龍東路399號1樓,24.9333824,121.2558308
新元藥局,中壢區龍東路44號,24.9283609,121.2502406
正翰藥師藥局,中壢區龍東路498號,24.934799,121.256865
安利藥局,中壢區龍東路504號,24.9348772,121.2571043
辰鴻藥局,中壢區環中東路110號,24.965294,121.2586429
佳佑藥局,中壢區環中東路241號之1,24.9634082,121.2571942
一心藥局,中壢區環北路184號,24.9660314,121.2217999
平鎮中豐藥局,平鎮區中豐路山頂段164號,24.9003707,121.2108979
閤家康聯合藥局,平鎮區中豐路山頂段256號,24.8981152,121.2107958
北區藥師藥局,平鎮區中豐路山頂段297號,24.8977748,121.2111599
瑞瑄社區大藥局,平鎮區中豐路南勢二段162號,24.9152629,121.2105007
佳仁藥局,平鎮區平東路243號,24.9155574,121.2485807
愛國藥師藥局,平鎮區民族路二段139號,24.9575633,121.2047169
雙林藥師藥局,平鎮區民族路二段187號,24.9569337,121.2038166
好的快藥局,平鎮區和平路123號,24.9473092,121.2206462
全球和平藥局,平鎮區和平路160號1、2樓,24.9467556,121.2198655
恬心藥局,平鎮區延平路二段214號,24.9472339,121.2101738
新昕藥局,平鎮區東社里龍南路92號1F,24.923828,121.246026
建德藥局,平鎮區金陵路103號,24.9476774,121.222959
大天藥局,平鎮區金陵路二段6號,24.9430617,121.2224931
優達藥局,平鎮區廣明路66號,24.9549133,121.2150759
壢新藥局,平鎮區廣泰路126號,24.9460484,121.2044194
世新藥局,平鎮區廣泰路75號-2,24.9468766,121.2054296
和康藥局,桃園區三民路3段591號,24.9834054,121.307672
宏偉藥師藥局,桃園區上海路55號,24.989688,121.283031
大業盛康藥局,桃園區大業路一段101號,25.0056565,121.3168002
康泰藥局,桃園區大業路一段323號1樓,25.0114295,121.3127372
維格藥局,桃園區大興西路二段129號,25.0106603,121.2974263
方一健保藥局,桃園區中山北路133號,25.0671971,121.1962141
新華興清溪藥局,桃園區中山東路10號,24.9955154,121.3135958
大廟藥局,桃園區中山路158號,24.9935149,121.309017
縣府仰望藥局,桃園區中山路323號,24.9918024,121.3034257
立人堂藥局,桃園區中山路397號,24.9915834,121.3008447
家福聯合藥局,桃園區中山路623號,24.9909759,121.2939853
大一藥局,桃園區中山路684之一號一樓,24.9912579,121.2945868
桃園中山藥局,桃園區中山路707號,24.9906829,121.2913804
五代全民藥局,桃園區中山路97號,24.9942031,121.3107215
大心藥局,桃園區中平路141號,24.9863895,121.2933655
奇美大藥局,桃園區中正五街185號,25.0050998,121.3013955
杏昌藥局,桃園區中正路1100號,25.015009,121.2992725
美德藥師藥局,桃園區中正路230號,24.9958686,121.3104324
北桃藥師藥局,桃園區中正路352號,24.998482,121.308834
桃園中正藥局,桃園區中正路373號,24.9994641,121.3079095
桃園民光藥局,桃園區中正路569號,25.0040515,121.3049569
大國民藥局,桃園區中正路578號1樓,25.0041144,121.3053341
新華興藥局,桃園區中正路665號,25.0059516,121.3037894
永明藥師藥局,桃園區永安里永安路264號,24.9984189,121.3040228
同生藥師藥局,桃園區永安路259號,24.998713,121.3026215
新永安藥師藥局,桃園區永安路466號,25.0008076,121.2994357
永祥大藥局,桃園區永安路528號,25.0018145,121.2986245
必安藥局,桃園區永樂街64號,24.9971739,121.3110232
同德藥局,桃園區同德十街43號,25.0180739,121.2930273
正安藥局,桃園區安東街58號,24.9926894,121.3157592
安慶盛康藥局,桃園區安慶街91號,25.0181352,121.2923937
芳鄰藥局,桃園區昆明路39號,24.9837174,121.3172791
親子藥局,桃園區南平路195號2F,25.0194326,121.3018685
桃園南平藥局,桃園區南平路302-1號1樓,25.0185614,121.2987865
品一藥局,桃園區建新街76號,24.9826637,121.3118668
保安藥師藥局,桃園區春日路1372號,25.0268837,121.3057351
郁祥藥局,桃園區春日路216號,24.9972714,121.315689
春日盛康藥局,桃園區春日路305號,24.9992683,121.3146325
悅藥坊人文藥局,桃園區桃智路6號,24.9646543,121.2947109
天濟堂藥局,桃園區桃鶯路388之8號,24.9762599,121.322925
均康藥局,桃園區國聖一街27號1樓之4,24.9883759,121.2882704
康橋藥局,桃園區國際路一段1029號,24.9851549,121.289376
弘光藥師藥局,桃園區國際路一段1135號,24.9877473,121.2890204
復興藥局,桃園區復興路57號,24.9909056,121.3156281
尚豫中西藥局,桃園區慈文路425號1樓,25.0045702,121.2998287
家佳藥局,桃園區瑞慶里莊一街80號,25.022009,121.2937328
經國藥局,桃園區經國路200號,25.0175313,121.3053472
昌維藥師藥局,桃園區縣府路22號2樓,24.9924066,121.3018631
幸運草健保藥局,桃園區縣府路280號,24.993128,121.299229
全球龍安藥局,桃園區龍安街111號,24.9897623,121.2799012
愛兒康藥局,桃園區龍安街147號1樓,24.9913246,121.2793825
欣立藥局,桃園區龍安街181-1號1樓,24.9927832,121.2784176
佳赫藥局,桃園區龍壽街48號,24.9791057,121.2695364
佑您康聯合藥局,桃園區寶山街385號,25.0106521,121.3116849
均安藥局,桃園區寶山街61號,25.0127766,121.3177194
桃園寶山藥局,桃園區寶山街72號,25.0129399,121.3175237
全安藥師藥局,桃園區寶慶路429號,25.0187487,121.2900794
德怡藥局,復興區忠孝路34號,24.814607,121.3515274
新屋藥局,新屋區中華路294號,24.9734669,121.1069488
楊梅大成藥局,楊梅區大成路124號,24.910986,121.1458016
躍獅天明藥局,楊梅區大成路177號,24.9124309,121.1457307
弘大藥局,楊梅區大華街13號,24.907624,121.1452523
合康美藥局,楊梅區中山北路二段79號,24.9081875,121.1690971
中美藥局,楊梅區中興路77號,24.9177563,121.1847832
龍泰藥局,楊梅區民族路5段147巷2號,24.9585579,121.1736233
全球埔心大藥局,楊梅區永美路395號,24.9148938,121.1796834
祐寧藥局,楊梅區新成路42號,24.9123327,121.1467954
弘安藥局,楊梅區新農街15號,24.90923,121.146515
資生楊梅大藥局,楊梅區楊新路100號,24.9134609,121.1449411
宜康美藥局,楊梅區環東路452號,24.9099926,121.1571317
得康美藥局,楊梅區環南路128號,24.9016713,121.1465869
關西第一藥局,龍潭區中山村東龍路303巷2號,24.8666168,121.2132083
華濟藥師聯合大藥局,龍潭區中正路136號,24.8665971,121.2164674
龍大藥局,龍潭區中正路169號,24.8661193,121.2170263
全球龍正藥局,龍潭區中正路231號1樓,24.8639097,121.2173162
佳欣社區藥局,龍潭區中正路262號1樓,24.8625429,121.217263
101藥師聯合藥局,龍潭區中正路44號1樓,24.8689165,121.2143593
弘安育藥局,龍潭區北龍路144號,24.8663105,121.2145236
龍潭北龍藥局,龍潭區北龍路275號,24.8679912,121.2173442
普善藥局,龍潭區北龍路333號,24.8689112,121.2190417
龍華藥局,龍潭區東龍路169號,24.8632652,121.2147168
新龍藥局,龍潭區東龍路175號2樓,24.8632803,121.2146792
悅發藥局,龍潭區龍元路86號,24.864888,121.2118708
全球藥局,龍潭區龍潭里北龍路185號,24.8670476,121.2153818
新資生龜山大藥局,龜山區大同里自強東路1號,24.9940272,121.3413971
博爾康生活藥局,龜山區大同路250號1F,24.9897902,121.3445703
高田藥師藥局,龜山區山鶯路76號,24.9900885,121.3238051
嘉惠中西藥局,龜山區文化七路79-1號1樓,25.0515585,121.3635347
誠安生活藥局,龜山區文化七路79-2號,25.0516258,121.3634929
文新藥局,龜山區文化二路71-1號,25.0559888,121.368117
文青藥局,龜山區文青路202號,25.0398956,121.3882558
佑昌藥局,龜山區民生北路一段534號,25.0440079,121.2978431
光峰藥局,龜山區光峰路67號,25.000864,121.3423913
南崁南祥藥局,龜山區南祥路46號,25.0462459,121.29756
和信藥局,龜山區南祥路58號1樓,25.0464283,121.2978471
輝安大藥局,龜山區新路村中原街3號,24.9931648,121.3362612
德佑藥局,龜山區新興路293號,25.0199092,121.3655989
安得福藥局,龜山區萬壽路1段281號,25.0022179,121.3636111
同安藥局,龜山區萬壽路2段905號,24.9956161,121.339485
桃園龜山藥局,龜山區萬壽路二段896號,24.9958944,121.3393083
藥聯藥局,龜山區萬壽路二段993號,24.9947867,121.3368701
桃園大竹藥局,蘆竹區大竹路365號,25.0199794,121.2652365
宜家藥局,蘆竹區大新路103號,25.0248099,121.2560643
大新長青藥師藥局,蘆竹區大新路467號,25.0241322,121.2482272
德美藥師藥局,蘆竹區中山路159號1樓,25.056948,121.2974147
誼康藥局,蘆竹區奉化路126號,25.0392784,121.2886423
恆安藥局,蘆竹區忠孝西路36號,25.0441413,121.2921508
康德美藥局,蘆竹區南山路3段255號1樓,25.0841659,121.2859
康而美聖安藥師藥局,蘆竹區南山路一段2-1號,25.0488518,121.291574
喜多福藥局,蘆竹區南山路三段265號1F,25.0844226,121.2859201
青青藥師藥局,蘆竹區南山路三段313號,25.0853249,121.286098
南竹健保藥局,蘆竹區南竹路一段76號1樓,25.0469952,121.2908817
青新藥師藥局,蘆竹區南竹路五段251之1號,25.024614,121.2598235
大竹藥師藥局,蘆竹區南竹路五段259號,25.0244438,121.259494
奇安藥局,蘆竹區南昌路269號,25.0400035,121.292111
明安藥局,蘆竹區南崁村南竹路1-6號,25.0476324,121.293648
杏洋藥局,蘆竹區南崁路134號,25.0463893,121.2950657
長榮藥師藥局,蘆竹區南崁路210號,25.0483982,121.293796
南崁宜安藥師藥局,蘆竹區南崁路248號,25.0491537,121.2934325
英登藥局,蘆竹區南崁路344號,25.0503894,121.2912852
敏新藥局,蘆竹區海山路14號,25.0859307,121.2859654
全郁藥師藥局,蘆竹區新莊里大新路458、460號1樓,25.0243944,121.2484025
立明藥局,觀音區大觀路2段33-1號,25.0479999,121.1436958
弘宗藥局,觀音區中山路15號,25.036688,121.0822043
金永生藥局,觀音區甘泉街7號,25.0369418,121.0812735
新惠安藥局,觀音區忠愛路一段33號,24.9936044,121.1672409
廣福藥局,觀音區新生路41號,25.0138106,121.1357871
合春藥局,觀音區新生路46號,25.0140248,121.1360099
八德區衛生所,八德區衛生所,24.9475152,121.2985398
大園區衛生所,大園區衛生所,25.0634494,121.1953688
大溪區衛生所,大溪區衛生所,24.8844889,121.285496
中壢區衛生所,中壢區衛生所,24.9623219,121.230063
平鎮區衛生所,平鎮區衛生所,24.9460785,121.2177819
桃園區衛生所,桃園區衛生所,24.9904757,121.2786771
復興區衛生所,復興區衛生所,24.8151032,121.3509884
新屋區衛生所,新屋區衛生所,24.972535,121.106582
楊梅區衛生所,楊梅區衛生所,24.8969228,121.1497265
龍潭區衛生所,龍潭區衛生所,24.8640117,121.2166744
龜山區衛生所,龜山區衛生所,24.9915168,121.3384788
蘆竹區衛生所,蘆竹區衛生所,25.063015,121.280337
觀音區衛生所,觀音區衛生所,25.0276679,121.083371
